Month,Category,TicketVolume,AvgFirstResponseMinutes,AvgResolutionHours,FCRRate,EscalationRate,AvgCSAT,CSATResponseRate,NPS
2025-09,Customer Service,89,7.0,4.45,84.3,10.1,4.49,53.9,20.0
2025-10,Customer Service,104,6.4,4.18,75.0,5.8,4.6,52.9,0.0
2025-11,Customer Service,121,8.6,5.02,76.0,8.3,4.54,54.5,-21.4
2025-12,Customer Service,127,7.5,4.8,80.3,4.7,4.61,55.9,26.1
2026-01,Customer Service,110,7.2,4.94,75.5,2.7,4.35,50.9,5.9
2026-02,Customer Service,82,7.4,4.77,86.6,0.0,4.4,48.8,7.1
2026-03,Customer Service,89,8.6,4.54,75.3,5.6,4.4,52.8,-4.8
2026-04,Customer Service,103,5.9,4.2,74.8,3.9,4.39,55.3,-14.3
2026-05,Customer Service,83,6.3,4.67,75.9,3.6,4.5,50.6,-8.3
2026-06,Customer Service,92,8.0,4.31,73.9,4.3,4.4,50.0,-5.3
2026-07,Customer Service,92,7.6,4.79,73.9,4.3,4.53,57.6,11.8
2026-08,Customer Service,95,8.2,4.99,80.0,8.4,4.57,55.8,0.0
2024-01,Product Quality,80,15.4,8.77,56.2,21.2,3.8,50.0,-53.3
2024-02,Product Quality,88,17.2,9.22,62.5,15.9,4.05,53.4,-21.4
2024-03,Product Quality,88,13.0,10.12,52.3,15.9,4.04,51.1,-10.0
2024-04,Product Quality,82,15.6,8.49,57.3,15.9,4.13,50.0,-66.7
2024-05,Product Quality,95,13.3,9.0,62.1,15.8,3.86,64.2,-16.7
2024-06,Product Quality,95,14.4,9.3,60.0,16.8,4.14,56.8,-50.0
2024-07,Product Quality,83,17.2,8.68,57.8,18.1,4.07,57.8,-40.0
2024-08,Product Quality,109,17.4,8.93,59.6,15.6,4.08,56.9,-18.2
2024-09,Product Quality,95,13.9,8.28,61.1,20.0,4.02,52.6,-63.6
2024-10,Product Quality,101,14.9,7.96,62.4,15.8,3.93,60.4,-30.0
2024-11,Product Quality,119,14.9,9.62,64.7,17.6,3.81,63.0,-14.3
2024-12,Product Quality,125,16.1,9.69,55.2,20.0,3.96,56.8,-22.2
2025-01,Product Quality,90,14.2,9.67,63.3,11.1,4.12,54.4,-19.0
2025-02,Product Quality,103,16.0,8.72,59.2,15.5,4.06,60.2,-62.5
2025-03,Product Quality,94,8.3,8.06,67.0,5.3,4.21,47.9,21.1
2025-04,Product Quality,90,11.3,8.92,64.4,6.7,4.22,52.2,-13.3
2025-05,Product Quality,101,10.5,8.85,66.3,11.9,4.21,45.5,-16.0
2025-06,Product Quality,86,8.7,9.08,66.3,8.1,4.17,51.2,-29.2
2025-07,Product Quality,77,9.8,9.6,66.2,13.0,4.05,50.6,0.0
2025-08,Product Quality,110,9.8,8.62,79.1,6.4,4.19,53.6,-5.0
2025-09,Product Quality,83,9.4,9.2,62.7,6.0,4.23,51.8,6.2
2025-10,Product Quality,101,9.6,8.28,62.4,13.9,4.31,54.5,5.3
2025-11,Product Quality,97,9.8,7.53,74.2,8.2,4.24,61.9,13.0
2025-12,Product Quality,133,8.8,8.05,66.2,9.8,4.09,49.6,0.0
2026-01,Product Quality,93,8.7,7.8,67.7,14.0,4.1,49.5,-18.2
2026-02,Product Quality,95,9.2,7.84,52.6,9.5,4.2,62.1,-16.7
2026-03,Product Quality,103,10.0,8.74,60.2,12.6,4.21,51.5,-13.3
2026-04,Product Quality,103,9.8,8.09,68.0,6.8,4.15,54.4,-5.6
2026-05,Product Quality,88,9.5,8.66,70.5,11.4,4.2,46.6,-21.4
2026-06,Product Quality,95,11.5,8.12,62.1,11.6,4.23,54.7,-19.0
2026-07,Product Quality,104,9.1,8.1,64.4,10.6,4.21,59.6,-30.0
2026-08,Product Quality,108,11.7,8.19,64.8,10.2,4.28,52.8,-5.9
2024-01,Returns & Refunds,99,15.4,8.06,60.6,13.1,4.15,61.6,0.0
2024-02,Returns & Refunds,92,12.8,7.5,63.0,8.7,4.15,51.1,0.0
2024-03,Returns & Refunds,93,15.9,8.47,71.0,14.0,4.14,54.8,-64.7
2024-04,Returns & Refunds,92,17.3,8.41,59.8,13.0,4.1,43.5,-27.8
2024-05,Returns & Refunds,102,15.3,8.19,62.7,8.8,4.04,66.7,-21.4
2024-06,Returns & Refunds,106,16.4,7.89,66.0,17.0,4.17,50.0,12.5
2024-07,Returns & Refunds,102,15.5,7.46,49.0,6.9,4.12,53.9,-4.2
2024-08,Returns & Refunds,107,13.7,7.15,61.7,12.1,4.06,52.3,-64.7
2024-09,Returns & Refunds,94,17.7,8.19,57.4,10.6,4.2,55.3,-27.3
2024-10,Returns & Refunds,110,16.0,8.01,53.6,9.1,4.06,49.1,-40.0
2024-11,Returns & Refunds,185,21.1,11.68,42.7,18.4,3.47,61.1,-73.3
2024-12,Returns & Refunds,198,21.3,11.73,46.5,16.7,3.5,55.6,-74.3
2025-01,Returns & Refunds,111,15.7,7.71,63.1,16.2,4.06,49.5,-23.8
2025-02,Returns & Refunds,110,16.8,9.26,55.5,8.2,4.25,55.5,-27.8
2025-03,Returns & Refunds,80,10.1,6.75,76.2,7.5,4.49,60.0,50.0
2025-04,Returns & Refunds,98,10.0,7.72,67.3,7.1,4.48,57.1,25.0
2025-05,Returns & Refunds,89,10.4,7.36,70.8,10.1,4.46,62.9,-23.1
2025-06,Returns & Refunds,82,12.8,7.25,76.8,6.1,4.49,56.1,0.0
2025-07,Returns & Refunds,88,11.5,7.54,69.3,5.7,4.47,56.8,14.3
2025-08,Returns & Refunds,102,10.3,7.82,67.6,11.8,4.29,54.9,-17.6
2025-09,Returns & Refunds,103,8.1,7.11,67.0,7.8,4.48,58.3,-23.5
2025-10,Returns & Refunds,101,10.0,6.85,70.3,6.9,4.38,53.5,-46.7
2025-11,Returns & Refunds,110,9.6,7.37,65.5,10.0,4.39,51.8,20.0
2025-12,Returns & Refunds,133,9.1,7.88,72.9,6.8,4.56,52.6,7.1
2026-01,Returns & Refunds,114,10.7,7.45,78.9,6.1,4.52,48.2,22.2
2026-02,Returns & Refunds,91,9.7,7.34,67.0,9.9,4.44,53.8,-14.3
2026-03,Returns & Refunds,85,11.2,8.01,68.2,8.2,4.48,56.5,13.3
2026-04,Returns & Refunds,105,10.4,7.57,76.2,10.5,4.43,53.3,-11.1
2026-05,Returns & Refunds,93,11.3,7.64,82.8,6.5,4.39,57.0,18.8
2026-06,Returns & Refunds,99,12.0,6.8,75.8,6.1,4.47,59.6,18.2
2026-07,Returns & Refunds,92,10.5,7.33,80.4,7.6,4.55,59.8,-13.3
2026-08,Returns & Refunds,114,11.8,7.42,78.1,13.2,4.31,64.9,-4.8
2024-01,Shipping & Delivery,161,11.5,6.67,67.1,12.4,4.19,54.7,-23.3
2024-02,Shipping & Delivery,185,13.7,6.94,73.5,11.9,4.23,57.3,-22.2
2024-03,Shipping & Delivery,151,13.1,6.32,65.6,12.6,4.23,54.3,-14.8
2024-04,Shipping & Delivery,139,11.2,6.6,66.9,8.6,4.24,58.3,-64.0
2024-05,Shipping & Delivery,156,12.4,6.92,67.9,9.0,4.24,57.1,-20.0
2024-06,Shipping & Delivery,167,12.2,6.46,72.5,13.8,4.16,54.5,-3.4
2024-07,Shipping & Delivery,179,12.2,6.61,69.8,7.3,4.13,58.1,-17.9
2024-08,Shipping & Delivery,174,11.5,6.32,64.4,9.8,4.24,56.3,-40.0
2024-09,Shipping & Delivery,206,12.7,5.7,72.8,7.8,4.25,55.8,-23.5
2024-10,Shipping & Delivery,190,11.1,6.67,60.5,11.1,4.13,58.9,-28.1
2024-11,Shipping & Delivery,527,28.3,16.77,56.4,16.5,3.69,53.1,-68.5
2024-12,Shipping & Delivery,643,28.3,18.1,56.1,15.4,3.65,52.3,-55.0
2025-01,Shipping & Delivery,194,10.4,7.06,64.4,6.7,4.18,56.2,0.0
2025-02,Shipping & Delivery,173,11.9,6.58,61.8,11.0,4.18,57.8,-7.1
2025-03,Shipping & Delivery,148,8.4,5.51,74.3,5.4,4.58,53.4,31.2
2025-04,Shipping & Delivery,154,7.3,5.77,80.5,13.0,4.49,59.1,-11.8
2025-05,Shipping & Delivery,117,7.9,6.52,79.5,9.4,4.58,64.1,10.5
2025-06,Shipping & Delivery,140,8.1,6.49,80.7,7.9,4.59,56.4,-14.3
2025-07,Shipping & Delivery,157,7.5,6.26,79.6,4.5,4.49,54.1,-7.9
2025-08,Shipping & Delivery,149,7.1,6.18,77.9,6.0,4.56,45.0,22.2
2025-09,Shipping & Delivery,164,9.2,5.88,81.7,7.9,4.46,48.8,30.4
2025-10,Shipping & Delivery,171,7.2,5.91,80.1,9.9,4.53,50.3,7.7
2025-11,Shipping & Delivery,195,7.4,5.69,76.9,12.8,4.51,55.4,3.1
2025-12,Shipping & Delivery,193,9.2,6.07,76.2,7.8,4.5,57.5,-8.1
2026-01,Shipping & Delivery,151,7.9,5.81,78.1,6.0,4.46,60.3,15.2
2026-02,Shipping & Delivery,151,7.7,5.64,76.8,7.9,4.49,55.6,-4.2
2026-03,Shipping & Delivery,159,8.6,5.58,79.2,6.9,4.54,56.6,-6.7
2026-04,Shipping & Delivery,157,7.3,5.82,78.3,5.1,4.5,56.1,14.6
2026-05,Shipping & Delivery,132,8.3,6.22,75.0,6.1,4.43,54.5,4.2
2026-06,Shipping & Delivery,168,8.1,6.05,75.6,4.8,4.55,58.9,0.0
2026-07,Shipping & Delivery,161,8.4,6.2,78.3,6.2,4.53,55.9,8.1
2026-08,Shipping & Delivery,159,9.2,6.48,77.4,6.3,4.52,52.2,3.4
2024-01,Website/App Experience,60,19.3,6.64,61.7,11.7,4.0,61.7,0.0
2024-02,Website/App Experience,59,15.8,7.61,66.1,10.2,3.96,61.0,-25.0
2024-03,Website/App Experience,48,20.2,6.28,43.8,8.3,3.86,52.1,25.0
2024-04,Website/App Experience,53,17.2,6.75,69.8,11.3,4.14,52.8,-44.4
2024-05,Website/App Experience,54,19.8,7.46,53.7,14.8,4.05,57.4,-33.3
2024-06,Website/App Experience,62,16.4,6.75,56.5,17.7,4.11,45.2,-8.3
2024-07,Website/App Experience,52,17.6,7.14,57.7,7.7,4.02,46.2,-14.3
2024-08,Website/App Experience,65,15.2,6.83,55.4,10.8,3.99,56.9,-18.2
2024-09,Website/App Experience,55,18.2,6.83,61.8,10.9,4.06,63.6,-10.0
2024-10,Website/App Experience,64,16.3,6.97,59.4,4.7,3.92,62.5,-25.0
2024-11,Website/App Experience,89,20.2,7.77,43.8,9.0,3.75,53.9,-75.0
2024-12,Website/App Experience,65,22.3,8.1,46.2,6.2,3.64,58.5,-37.5
2025-01,Website/App Experience,63,21.0,6.44,50.8,14.3,3.9,63.5,-35.3
2025-02,Website/App Experience,65,18.5,6.61,53.8,10.8,3.89,50.8,0.0
2025-03,Website/App Experience,47,9.9,6.02,63.8,6.4,4.3,68.1,-25.0
2025-04,Website/App Experience,48,12.5,6.56,66.7,6.2,4.4,41.7,0.0
2025-05,Website/App Experience,52,12.1,5.54,63.5,7.7,4.19,46.2,-36.4
2025-06,Website/App Experience,56,9.2,6.15,64.3,16.1,4.4,44.6,-16.7
2025-07,Website/App Experience,47,12.2,5.38,72.3,10.6,4.42,51.1,-28.6
2025-08,Website/App Experience,46,11.7,7.0,76.1,4.3,4.5,45.7,0.0
2025-09,Website/App Experience,48,13.8,7.05,52.1,8.3,4.43,60.4,28.6
2025-10,Website/App Experience,47,12.0,6.34,61.7,6.4,4.09,57.4,-60.0
2025-11,Website/App Experience,54,12.4,5.99,75.9,11.1,4.33,59.3,37.5
2025-12,Website/App Experience,63,11.7,7.25,71.4,4.8,4.32,60.3,6.2
2026-01,Website/App Experience,54,11.0,7.46,66.7,3.7,4.29,53.7,36.4
2026-02,Website/App Experience,52,10.4,6.35,78.8,3.8,4.28,57.7,8.3
2026-03,Website/App Experience,58,10.9,5.97,56.9,10.3,4.29,56.9,-28.6
2026-04,Website/App Experience,52,9.8,6.27,67.3,5.8,4.36,63.5,0.0
2026-05,Website/App Experience,54,13.8,5.43,63.0,3.7,4.27,61.1,-44.4
2026-06,Website/App Experience,54,11.7,6.05,70.4,1.9,4.37,64.8,-15.4
2026-07,Website/App Experience,53,10.4,6.51,60.4,3.8,4.24,43.4,16.7
2026-08,Website/App Experience,58,10.8,7.15,44.8,10.3,4.11,55.2,7.1
