InteractionID,CustomerID,AgentID,Date,Month,Category,Channel,FirstResponseMinutes,ResolutionHours,FCR,Escalated,SurveySent,CSATScore,NPSSent,NPSScore
INT500028,C11376,A120,2024-01-13,2024-01,Shipping & Delivery,Chat,5.6,19.11,True,False,False,,True,8.0
INT500029,C10906,A114,2024-01-07,2024-01,Shipping & Delivery,Phone,14.5,8.04,True,False,True,5.0,False,
INT500030,C11573,A122,2024-01-27,2024-01,Shipping & Delivery,Phone,8.4,6.25,True,False,True,4.0,False,
INT500031,C11845,A112,2024-01-18,2024-01,Shipping & Delivery,Chat,2.2,2.2,True,True,False,,False,
INT500032,C11849,A110,2024-01-29,2024-01,Shipping & Delivery,Chat,3.1,3.61,True,False,False,,False,
INT500033,C10567,A120,2024-01-09,2024-01,Shipping & Delivery,Phone,16.3,11.61,False,False,True,3.5,False,
INT500034,C10819,A107,2024-01-26,2024-01,Shipping & Delivery,Phone,9.2,11.81,True,False,True,4.0,False,
INT500035,C10499,A113,2024-01-18,2024-01,Shipping & Delivery,Phone,16.9,5.03,False,True,False,,False,
INT500036,C11278,A121,2024-01-02,2024-01,Shipping & Delivery,Email,7.2,1.77,True,False,False,,True,5.0
INT500037,C10051,A104,2024-01-01,2024-01,Shipping & Delivery,Chat,1.6,8.55,False,False,True,4.0,False,
INT500038,C11668,A116,2024-01-03,2024-01,Shipping & Delivery,Email,16.3,13.87,True,False,False,,True,9.0
INT500039,C11150,A120,2024-01-28,2024-01,Shipping & Delivery,Chat,2.3,15.49,True,False,False,,False,
INT500040,C11818,A108,2024-01-14,2024-01,Shipping & Delivery,Social,36.9,6.91,True,True,False,,False,
INT500041,C12176,A105,2024-01-22,2024-01,Shipping & Delivery,Chat,4.7,12.17,False,False,False,,False,
INT500042,C11955,A110,2024-01-31,2024-01,Shipping & Delivery,Phone,25.2,9.85,True,False,False,,False,
INT500043,C11592,A115,2024-01-05,2024-01,Shipping & Delivery,Email,15.6,11.07,True,False,True,5.0,False,
INT500044,C10662,A102,2024-01-24,2024-01,Shipping & Delivery,Phone,10.8,1.42,True,False,True,3.0,True,10.0
INT500045,C10400,A108,2024-01-17,2024-01,Shipping & Delivery,Social,16.6,7.18,True,False,False,,False,
INT500046,C12153,A112,2024-01-31,2024-01,Shipping & Delivery,Email,10.8,1.43,True,False,True,4.5,False,
INT500047,C10391,A108,2024-01-09,2024-01,Shipping & Delivery,Social,12.3,2.48,False,False,False,,False,
INT500048,C11334,A105,2024-01-08,2024-01,Shipping & Delivery,Email,8.1,8.35,True,False,True,4.5,False,
INT500049,C11603,A122,2024-01-26,2024-01,Shipping & Delivery,Phone,7.7,5.38,True,False,True,3.5,False,
INT500050,C12014,A117,2024-01-19,2024-01,Shipping & Delivery,Phone,2.4,9.19,True,False,True,3.5,False,
INT500051,C11967,A113,2024-01-24,2024-01,Shipping & Delivery,Chat,5.9,8.54,True,False,True,5.0,False,
INT500052,C10975,A112,2024-01-14,2024-01,Shipping & Delivery,Phone,7.1,2.85,False,False,True,3.5,False,
INT500053,C11066,A115,2024-01-06,2024-01,Shipping & Delivery,Phone,3.0,6.49,True,True,False,,False,
INT500054,C10646,A103,2024-01-15,2024-01,Shipping & Delivery,Social,14.0,11.81,True,False,False,,False,
INT500055,C10603,A113,2024-01-19,2024-01,Shipping & Delivery,Phone,4.3,7.07,True,False,True,4.0,False,
INT500056,C10513,A106,2024-01-12,2024-01,Shipping & Delivery,Chat,4.1,4.83,True,False,False,,False,
INT500057,C10942,A113,2024-01-11,2024-01,Shipping & Delivery,Social,2.4,3.42,False,False,True,5.0,False,
INT500058,C10196,A110,2024-01-22,2024-01,Shipping & Delivery,Chat,0.8,7.68,False,True,True,3.5,False,
INT500059,C10650,A121,2024-01-29,2024-01,Shipping & Delivery,Social,30.2,6.91,False,False,True,4.0,True,7.0
INT500060,C11861,A117,2024-01-12,2024-01,Shipping & Delivery,Social,9.1,4.05,True,False,False,,False,
INT500061,C11210,A117,2024-01-27,2024-01,Shipping & Delivery,Email,5.9,4.28,True,True,False,,True,4.0
INT500062,C11547,A119,2024-01-31,2024-01,Shipping & Delivery,Phone,8.2,19.73,True,False,True,5.0,False,
INT500063,C11571,A119,2024-01-27,2024-01,Shipping & Delivery,Chat,1.8,4.63,True,False,False,,False,
INT500064,C11730,A107,2024-01-31,2024-01,Shipping & Delivery,Email,20.1,4.96,True,False,True,3.5,False,
INT500065,C12052,A105,2024-01-26,2024-01,Shipping & Delivery,Email,10.7,3.4,True,False,False,,False,
INT500066,C10140,A115,2024-01-18,2024-01,Shipping & Delivery,Phone,9.6,3.75,False,False,False,,False,
INT500067,C12071,A109,2024-01-31,2024-01,Shipping & Delivery,Phone,13.6,5.76,False,False,True,4.0,False,
INT500068,C11547,A109,2024-01-26,2024-01,Shipping & Delivery,Chat,4.5,1.72,True,False,False,,False,
INT500069,C11509,A111,2024-01-28,2024-01,Shipping & Delivery,Phone,3.9,7.06,True,False,True,4.5,False,
INT500070,C11545,A106,2024-01-13,2024-01,Shipping & Delivery,Email,7.3,11.52,True,False,False,,False,
INT500071,C12079,A110,2024-01-13,2024-01,Shipping & Delivery,Social,23.5,1.72,True,False,False,,False,
INT500072,C12063,A110,2024-01-09,2024-01,Shipping & Delivery,Social,29.8,4.28,False,True,True,4.0,False,
INT500073,C10231,A121,2024-01-27,2024-01,Shipping & Delivery,Phone,9.7,9.42,False,True,False,,False,
INT500074,C11409,A110,2024-01-07,2024-01,Shipping & Delivery,Phone,4.8,8.5,True,False,True,4.0,False,
INT500075,C11325,A116,2024-01-30,2024-01,Shipping & Delivery,Email,2.4,7.77,True,False,False,,False,
INT500076,C11621,A114,2024-01-29,2024-01,Shipping & Delivery,Email,20.7,4.26,False,False,False,,False,
INT500077,C11881,A118,2024-01-14,2024-01,Shipping & Delivery,Email,37.4,18.45,False,False,True,3.5,False,
INT500078,C12054,A118,2024-01-28,2024-01,Shipping & Delivery,Phone,7.0,9.6,True,False,True,5.0,True,7.0
INT500079,C11672,A114,2024-01-31,2024-01,Shipping & Delivery,Email,14.6,5.07,True,False,False,,False,
INT500080,C11585,A115,2024-01-14,2024-01,Shipping & Delivery,Chat,2.4,6.99,True,False,True,3.5,False,
INT500081,C11719,A114,2024-01-23,2024-01,Shipping & Delivery,Email,4.6,5.17,True,False,False,,True,8.0
INT500082,C10876,A119,2024-01-27,2024-01,Shipping & Delivery,Email,10.3,10.58,False,False,True,4.0,False,
INT500083,C11045,A113,2024-01-23,2024-01,Shipping & Delivery,Email,14.5,4.83,False,False,True,3.0,False,
INT500084,C10650,A122,2024-01-12,2024-01,Shipping & Delivery,Chat,2.4,2.06,True,False,True,4.0,False,
INT500085,C10500,A108,2024-01-27,2024-01,Shipping & Delivery,Chat,2.6,13.53,False,False,False,,False,
INT500086,C10721,A113,2024-01-15,2024-01,Shipping & Delivery,Email,10.1,8.01,True,False,True,5.0,True,5.0
INT500087,C10872,A117,2024-01-02,2024-01,Shipping & Delivery,Phone,16.7,7.95,False,False,False,,False,
INT500088,C11571,A116,2024-01-21,2024-01,Shipping & Delivery,Email,34.8,6.78,False,False,True,5.0,False,
INT500089,C11728,A114,2024-01-05,2024-01,Shipping & Delivery,Email,34.7,5.8,True,False,False,,True,6.0
INT500090,C10107,A106,2024-01-21,2024-01,Shipping & Delivery,Chat,2.5,7.75,False,True,True,4.0,False,
INT500091,C10996,A110,2024-01-03,2024-01,Shipping & Delivery,Phone,4.3,3.39,True,False,True,5.0,False,
INT500092,C10021,A111,2024-01-17,2024-01,Shipping & Delivery,Phone,24.2,4.27,True,False,True,5.0,False,
INT500093,C10972,A105,2024-01-27,2024-01,Shipping & Delivery,Social,1.3,6.88,True,False,False,,False,
INT500094,C11460,A106,2024-01-28,2024-01,Shipping & Delivery,Email,19.2,6.51,False,False,False,,False,
INT500095,C10385,A110,2024-01-26,2024-01,Shipping & Delivery,Email,41.0,3.48,True,False,False,,False,
INT500096,C11592,A111,2024-01-28,2024-01,Shipping & Delivery,Chat,2.0,13.68,False,False,False,,False,
INT500097,C12062,A101,2024-01-06,2024-01,Shipping & Delivery,Phone,24.5,6.08,False,False,True,4.5,False,
INT500098,C12160,A120,2024-01-11,2024-01,Shipping & Delivery,Chat,6.0,3.52,True,False,True,4.5,False,
INT500099,C11802,A114,2024-01-03,2024-01,Shipping & Delivery,Phone,3.7,11.37,True,False,False,,False,
INT500100,C11852,A111,2024-01-13,2024-01,Shipping & Delivery,Chat,6.3,9.8,False,False,False,,False,
INT500101,C10012,A103,2024-01-27,2024-01,Shipping & Delivery,Chat,0.8,8.45,False,False,True,3.5,True,8.0
INT500102,C11135,A103,2024-01-01,2024-01,Shipping & Delivery,Chat,3.8,8.55,True,False,False,,False,
INT500103,C10332,A120,2024-01-21,2024-01,Shipping & Delivery,Social,24.1,6.43,True,False,True,4.0,False,
INT500104,C11051,A106,2024-01-30,2024-01,Shipping & Delivery,Email,14.2,3.49,True,False,True,5.0,False,
INT500105,C11428,A110,2024-01-07,2024-01,Shipping & Delivery,Social,12.2,9.02,True,True,False,,False,
INT500106,C12084,A118,2024-01-06,2024-01,Shipping & Delivery,Email,22.5,7.88,False,False,False,,False,
INT500107,C11089,A113,2024-01-14,2024-01,Shipping & Delivery,Chat,9.8,1.38,True,False,True,4.5,True,7.0
INT500108,C10212,A120,2024-01-03,2024-01,Shipping & Delivery,Phone,7.6,7.0,False,False,True,4.5,False,
INT500109,C10616,A109,2024-01-19,2024-01,Shipping & Delivery,Phone,12.8,9.39,False,True,True,4.0,False,
INT500110,C10214,A111,2024-01-17,2024-01,Shipping & Delivery,Phone,13.3,2.19,True,False,True,4.0,False,
INT500111,C11175,A105,2024-01-30,2024-01,Shipping & Delivery,Email,3.0,4.04,True,False,True,4.0,False,
INT500112,C10155,A105,2024-01-16,2024-01,Shipping & Delivery,Email,4.8,6.43,False,False,True,4.5,False,
INT500113,C11551,A114,2024-01-07,2024-01,Shipping & Delivery,Phone,8.1,6.87,True,False,True,4.0,False,
INT500114,C10676,A110,2024-01-27,2024-01,Shipping & Delivery,Social,11.9,2.29,True,False,False,,False,
INT500115,C10115,A107,2024-01-24,2024-01,Shipping & Delivery,Phone,7.2,5.7,True,False,False,,False,
INT500116,C10274,A116,2024-01-14,2024-01,Shipping & Delivery,Chat,3.2,3.85,True,False,False,,True,4.0
INT500117,C11244,A114,2024-01-07,2024-01,Shipping & Delivery,Phone,3.7,8.56,True,False,False,,False,
INT500118,C10585,A103,2024-01-22,2024-01,Shipping & Delivery,Phone,14.6,4.14,False,False,True,5.0,False,
INT500119,C10220,A117,2024-01-14,2024-01,Shipping & Delivery,Chat,2.8,9.47,True,False,True,5.0,False,
INT500120,C11334,A117,2024-01-10,2024-01,Shipping & Delivery,Phone,15.4,3.53,True,False,True,4.5,False,
INT500121,C10102,A114,2024-01-15,2024-01,Shipping & Delivery,Phone,17.2,6.36,True,False,False,,False,
INT500122,C11665,A117,2024-01-19,2024-01,Shipping & Delivery,Phone,13.8,6.3,True,False,False,,True,5.0
INT500123,C11465,A120,2024-01-03,2024-01,Shipping & Delivery,Email,23.3,3.49,True,False,False,,True,7.0
INT500124,C10061,A102,2024-01-28,2024-01,Shipping & Delivery,Chat,2.5,2.33,False,False,False,,False,
INT500125,C11349,A110,2024-01-13,2024-01,Shipping & Delivery,Social,29.8,3.59,True,False,False,,False,
INT500126,C10859,A118,2024-01-13,2024-01,Shipping & Delivery,Phone,22.2,3.05,True,False,True,3.5,True,5.0
INT500127,C11408,A117,2024-01-20,2024-01,Shipping & Delivery,Chat,1.7,7.99,True,False,True,4.0,False,
INT500128,C11471,A117,2024-01-18,2024-01,Shipping & Delivery,Phone,16.7,2.41,True,False,True,3.5,False,
INT500129,C12054,A108,2024-01-30,2024-01,Shipping & Delivery,Phone,10.2,8.77,True,False,True,4.0,False,
INT500130,C10447,A122,2024-01-12,2024-01,Shipping & Delivery,Chat,0.6,9.42,False,False,False,,True,8.0
INT500131,C10014,A112,2024-01-31,2024-01,Shipping & Delivery,Social,9.0,8.13,True,False,True,4.0,False,
INT500132,C11608,A103,2024-01-24,2024-01,Shipping & Delivery,Chat,3.3,11.73,False,False,True,4.0,False,
INT500133,C10662,A120,2024-01-09,2024-01,Shipping & Delivery,Phone,18.1,12.68,True,True,True,4.0,True,7.0
INT500134,C11912,A108,2024-01-10,2024-01,Shipping & Delivery,Chat,6.9,6.81,True,False,False,,True,5.0
INT500135,C10278,A113,2024-01-05,2024-01,Shipping & Delivery,Email,59.8,6.96,False,False,False,,False,
INT500136,C11912,A113,2024-01-19,2024-01,Shipping & Delivery,Chat,3.6,7.01,False,False,False,,False,
INT500137,C10772,A120,2024-01-17,2024-01,Shipping & Delivery,Phone,9.6,6.13,True,False,False,,False,
INT500138,C10192,A103,2024-01-29,2024-01,Shipping & Delivery,Social,3.9,1.8,True,False,True,5.0,False,
INT500139,C10848,A115,2024-01-11,2024-01,Shipping & Delivery,Phone,10.2,3.11,False,False,False,,False,
INT500140,C11179,A115,2024-01-05,2024-01,Shipping & Delivery,Chat,0.5,2.28,False,False,False,,True,6.0
INT500141,C10948,A115,2024-01-02,2024-01,Shipping & Delivery,Phone,16.3,6.26,True,False,True,4.5,False,
INT500142,C10830,A111,2024-01-27,2024-01,Shipping & Delivery,Chat,5.7,14.22,True,False,True,4.0,False,
INT500143,C11224,A116,2024-01-30,2024-01,Shipping & Delivery,Email,5.3,4.59,True,False,False,,False,
INT500144,C10503,A108,2024-01-29,2024-01,Shipping & Delivery,Phone,10.3,3.52,True,False,True,3.5,False,
INT500145,C11449,A106,2024-01-25,2024-01,Shipping & Delivery,Chat,3.1,4.68,True,False,True,4.5,False,
INT500146,C11933,A103,2024-01-11,2024-01,Shipping & Delivery,Phone,8.7,10.41,True,False,False,,False,
INT500147,C11011,A101,2024-01-11,2024-01,Shipping & Delivery,Email,30.2,3.34,True,False,False,,False,
INT500148,C10281,A109,2024-01-25,2024-01,Shipping & Delivery,Social,21.4,5.24,False,False,False,,False,
INT500149,C11732,A110,2024-01-30,2024-01,Shipping & Delivery,Chat,0.5,2.99,True,False,True,4.5,False,
INT500150,C10056,A121,2024-01-15,2024-01,Shipping & Delivery,Email,13.7,6.75,True,True,False,,False,
INT500151,C10952,A119,2024-01-02,2024-01,Shipping & Delivery,Phone,8.2,5.33,False,False,True,3.0,False,
INT500152,C11201,A115,2024-01-16,2024-01,Shipping & Delivery,Phone,27.3,4.76,True,False,False,,False,
INT500153,C10509,A104,2024-01-15,2024-01,Shipping & Delivery,Phone,18.1,0.94,True,False,False,,True,6.0
INT500154,C11099,A105,2024-01-29,2024-01,Shipping & Delivery,Phone,9.8,15.47,True,False,True,4.5,False,
INT500155,C10770,A102,2024-01-15,2024-01,Shipping & Delivery,Chat,7.5,4.27,True,False,True,4.5,False,
INT500156,C10541,A122,2024-01-18,2024-01,Shipping & Delivery,Social,4.0,2.4,False,False,False,,True,4.0
INT500157,C10116,A111,2024-01-04,2024-01,Shipping & Delivery,Chat,4.5,2.18,False,False,False,,False,
INT500158,C11728,A103,2024-01-05,2024-01,Shipping & Delivery,Email,27.0,4.21,True,False,True,5.0,False,
INT500159,C11239,A116,2024-01-07,2024-01,Shipping & Delivery,Phone,9.8,5.78,True,False,False,,False,
INT500160,C10533,A117,2024-01-27,2024-01,Shipping & Delivery,Phone,4.9,3.42,False,True,True,3.5,False,
INT500161,C11322,A102,2024-01-27,2024-01,Shipping & Delivery,Email,27.0,2.59,True,False,True,4.0,False,
INT500162,C11433,A138,2024-01-22,2024-01,Returns & Refunds,Chat,8.9,4.28,True,False,True,4.5,True,7.0
INT500163,C11757,A136,2024-01-01,2024-01,Returns & Refunds,Phone,10.8,10.71,True,False,False,,False,
INT500164,C11756,A137,2024-01-06,2024-01,Returns & Refunds,Email,38.9,6.99,True,False,True,5.0,False,
INT500165,C10920,A140,2024-01-08,2024-01,Returns & Refunds,Social,27.7,10.79,True,False,False,,False,
INT500166,C10533,A137,2024-01-04,2024-01,Returns & Refunds,Chat,11.5,16.14,False,False,False,,False,
INT500167,C10759,A133,2024-01-10,2024-01,Returns & Refunds,Phone,7.4,8.38,False,True,True,3.5,False,
INT500168,C10035,A139,2024-01-04,2024-01,Returns & Refunds,Social,36.4,7.53,True,False,False,,False,
INT500169,C10869,A133,2024-01-30,2024-01,Returns & Refunds,Chat,9.8,6.79,False,False,False,,False,
INT500170,C10720,A133,2024-01-05,2024-01,Returns & Refunds,Email,23.1,14.31,True,False,True,5.0,False,
INT500171,C11517,A136,2024-01-27,2024-01,Returns & Refunds,Phone,19.7,8.78,True,False,True,4.0,False,
INT500172,C11860,A135,2024-01-15,2024-01,Returns & Refunds,Email,3.6,14.56,True,False,False,,False,
INT500173,C11828,A135,2024-01-20,2024-01,Returns & Refunds,Social,70.0,1.9,False,True,True,4.0,False,
INT500174,C10533,A138,2024-01-02,2024-01,Returns & Refunds,Phone,6.1,9.14,True,False,True,5.0,False,
INT500175,C12071,A137,2024-01-15,2024-01,Returns & Refunds,Email,31.4,5.32,False,False,False,,False,
INT500176,C11661,A138,2024-01-24,2024-01,Returns & Refunds,Social,13.8,4.29,True,False,True,5.0,True,6.0
INT500177,C10270,A136,2024-01-19,2024-01,Returns & Refunds,Social,15.4,1.45,True,False,True,3.5,False,
INT500178,C12066,A138,2024-01-02,2024-01,Returns & Refunds,Phone,10.9,5.38,True,False,False,,False,
INT500179,C10394,A134,2024-01-11,2024-01,Returns & Refunds,Email,20.6,5.15,True,False,True,4.0,False,
INT500180,C11175,A141,2024-01-03,2024-01,Returns & Refunds,Phone,9.1,3.9,True,False,True,4.0,False,
INT500181,C11657,A139,2024-01-13,2024-01,Returns & Refunds,Social,4.2,6.99,False,False,True,4.5,False,
INT500182,C12167,A138,2024-01-06,2024-01,Returns & Refunds,Chat,2.3,6.47,True,False,False,,False,
INT500183,C11766,A138,2024-01-28,2024-01,Returns & Refunds,Social,10.5,11.7,True,False,True,4.0,False,
INT500184,C10056,A138,2024-01-28,2024-01,Returns & Refunds,Phone,11.6,5.76,False,False,True,3.5,False,
INT500185,C11114,A140,2024-01-25,2024-01,Returns & Refunds,Phone,11.1,9.24,False,False,False,,False,
INT500186,C11335,A135,2024-01-25,2024-01,Returns & Refunds,Phone,27.9,2.46,True,False,True,4.5,False,
INT500187,C11465,A139,2024-01-10,2024-01,Returns & Refunds,Phone,4.8,5.99,True,True,True,2.0,False,
INT500188,C11836,A136,2024-01-24,2024-01,Returns & Refunds,Email,64.3,13.19,True,False,True,5.0,False,
INT500189,C11701,A134,2024-01-29,2024-01,Returns & Refunds,Social,17.5,2.35,False,False,True,3.0,False,
INT500190,C12174,A137,2024-01-12,2024-01,Returns & Refunds,Chat,5.8,5.48,True,True,False,,False,
INT500191,C10932,A141,2024-01-12,2024-01,Returns & Refunds,Phone,5.8,7.47,True,False,True,4.5,True,8.0
INT500192,C11470,A139,2024-01-15,2024-01,Returns & Refunds,Phone,9.0,13.63,False,False,False,,False,
INT500193,C11500,A138,2024-01-09,2024-01,Returns & Refunds,Chat,3.1,24.47,True,True,True,4.0,False,
INT500194,C10576,A133,2024-01-03,2024-01,Returns & Refunds,Chat,7.2,9.42,False,False,True,3.0,False,
INT500195,C12192,A135,2024-01-12,2024-01,Returns & Refunds,Chat,10.9,4.54,True,False,True,3.5,False,
INT500196,C11271,A133,2024-01-21,2024-01,Returns & Refunds,Phone,5.3,10.0,True,False,True,4.0,False,
INT500197,C10728,A137,2024-01-17,2024-01,Returns & Refunds,Phone,13.3,10.51,False,False,True,4.5,False,
INT500198,C11332,A141,2024-01-22,2024-01,Returns & Refunds,Social,10.0,3.28,True,True,True,3.5,True,7.0
INT500199,C11571,A136,2024-01-23,2024-01,Returns & Refunds,Email,28.3,0.62,True,False,False,,False,
INT500200,C11325,A135,2024-01-17,2024-01,Returns & Refunds,Social,21.0,14.42,True,False,True,4.0,False,
INT500201,C11321,A137,2024-01-03,2024-01,Returns & Refunds,Email,42.8,4.05,True,False,True,4.0,False,
INT500202,C10904,A141,2024-01-03,2024-01,Returns & Refunds,Chat,1.2,16.5,True,False,True,5.0,False,
INT500203,C11758,A134,2024-01-10,2024-01,Returns & Refunds,Email,26.7,5.22,True,True,True,4.0,True,7.0
INT500204,C10797,A140,2024-01-22,2024-01,Returns & Refunds,Social,4.6,21.38,False,False,True,4.0,False,
INT500205,C10833,A137,2024-01-08,2024-01,Returns & Refunds,Phone,22.8,13.18,True,False,False,,False,
INT500206,C10479,A138,2024-01-19,2024-01,Returns & Refunds,Chat,2.3,5.31,True,False,True,4.5,False,
INT500207,C11806,A141,2024-01-30,2024-01,Returns & Refunds,Chat,5.5,4.65,False,True,False,,False,
INT500208,C10560,A135,2024-01-17,2024-01,Returns & Refunds,Chat,7.1,12.72,True,False,False,,False,
INT500209,C10360,A140,2024-01-15,2024-01,Returns & Refunds,Chat,3.4,5.1,False,False,True,4.5,False,
INT500210,C10155,A138,2024-01-27,2024-01,Returns & Refunds,Email,18.8,6.34,True,False,False,,False,
INT500211,C11716,A139,2024-01-19,2024-01,Returns & Refunds,Phone,18.1,4.06,True,False,True,4.5,False,
INT500212,C11859,A139,2024-01-01,2024-01,Returns & Refunds,Email,17.0,7.81,False,False,False,,False,
INT500213,C11816,A135,2024-01-15,2024-01,Returns & Refunds,Email,41.7,14.4,False,False,True,4.5,False,
INT500214,C11938,A138,2024-01-27,2024-01,Returns & Refunds,Email,34.7,5.31,True,False,True,4.5,False,
INT500215,C11995,A133,2024-01-14,2024-01,Returns & Refunds,Phone,17.4,7.86,True,False,True,3.5,True,6.0
INT500216,C10892,A134,2024-01-11,2024-01,Returns & Refunds,Email,17.3,12.76,True,False,True,5.0,False,
INT500217,C11429,A133,2024-01-25,2024-01,Returns & Refunds,Email,13.7,4.19,False,False,True,4.0,True,8.0
INT500218,C10840,A137,2024-01-26,2024-01,Returns & Refunds,Chat,4.0,2.32,False,False,False,,True,7.0
INT500219,C10987,A140,2024-01-30,2024-01,Returns & Refunds,Phone,15.4,6.55,False,False,False,,False,
INT500220,C10261,A134,2024-01-07,2024-01,Returns & Refunds,Email,18.3,14.67,True,False,True,4.0,False,
INT500221,C11892,A135,2024-01-20,2024-01,Returns & Refunds,Phone,14.0,4.84,True,False,True,4.5,False,
INT500222,C11890,A137,2024-01-04,2024-01,Returns & Refunds,Email,22.6,5.16,True,True,False,,True,9.0
INT500223,C12180,A138,2024-01-01,2024-01,Returns & Refunds,Chat,2.8,3.94,True,False,True,5.0,False,
INT500224,C11099,A141,2024-01-06,2024-01,Returns & Refunds,Phone,10.9,5.0,False,False,False,,False,
INT500225,C12006,A135,2024-01-23,2024-01,Returns & Refunds,Chat,10.1,7.82,False,False,False,,True,9.0
INT500226,C11866,A140,2024-01-31,2024-01,Returns & Refunds,Email,14.9,5.86,True,False,False,,False,
INT500227,C11114,A134,2024-01-16,2024-01,Returns & Refunds,Chat,1.5,1.8,False,False,True,5.0,False,
INT500228,C11426,A138,2024-01-20,2024-01,Returns & Refunds,Chat,5.4,15.15,True,False,True,4.0,False,
INT500229,C12125,A133,2024-01-31,2024-01,Returns & Refunds,Email,27.9,6.32,True,False,True,4.0,False,
INT500230,C10454,A134,2024-01-26,2024-01,Returns & Refunds,Email,40.4,18.09,False,False,False,,False,
INT500231,C11465,A138,2024-01-05,2024-01,Returns & Refunds,Phone,15.9,8.43,True,False,True,3.5,False,
INT500232,C10662,A140,2024-01-27,2024-01,Returns & Refunds,Phone,22.7,26.69,True,False,True,4.5,False,
INT500233,C10472,A138,2024-01-07,2024-01,Returns & Refunds,Email,1.5,13.61,True,True,True,4.0,False,
INT500234,C10479,A133,2024-01-16,2024-01,Returns & Refunds,Phone,13.6,5.97,False,False,False,,False,
INT500235,C11631,A137,2024-01-08,2024-01,Returns & Refunds,Phone,2.6,5.03,False,False,False,,False,
INT500236,C11953,A136,2024-01-28,2024-01,Returns & Refunds,Email,35.5,8.14,True,False,False,,False,
INT500237,C10965,A133,2024-01-03,2024-01,Returns & Refunds,Chat,3.4,16.78,True,False,False,,False,
INT500238,C11728,A137,2024-01-05,2024-01,Returns & Refunds,Email,25.1,9.92,False,False,True,3.0,True,9.0
INT500239,C11055,A138,2024-01-04,2024-01,Returns & Refunds,Chat,0.9,10.08,True,False,False,,False,
INT500240,C10499,A136,2024-01-24,2024-01,Returns & Refunds,Social,8.5,17.51,True,False,True,3.5,False,
