Month,Channel,TicketVolume,AvgFirstResponseMinutes,AvgResolutionHours,FCRRate,EscalationRate,AvgCSAT,CSATResponseRate,NPS
2025-02,Phone,215,14.2,6.78,64.2,9.3,4.24,50.7,-18.6
2025-03,Phone,143,10.0,5.34,79.0,4.9,4.47,53.1,16.0
2025-04,Phone,167,11.2,6.25,73.7,6.6,4.44,58.1,-12.9
2025-05,Phone,135,11.6,6.3,69.6,7.4,4.46,50.4,-39.1
2025-06,Phone,140,11.8,5.96,83.6,6.4,4.51,51.4,-27.6
2025-07,Phone,147,12.8,6.2,74.8,7.5,4.46,57.1,-10.7
2025-08,Phone,174,12.3,6.46,76.4,8.0,4.43,52.3,8.3
2025-09,Phone,147,11.2,6.36,76.9,6.1,4.52,57.1,33.3
2025-10,Phone,179,10.7,5.46,76.5,10.1,4.57,50.8,28.0
2025-11,Phone,178,11.6,5.59,79.2,6.7,4.51,50.6,3.7
2025-12,Phone,204,11.5,6.59,74.0,9.8,4.49,52.9,5.9
2026-01,Phone,160,11.3,5.87,75.0,5.6,4.41,56.2,27.6
2026-02,Phone,138,11.0,5.78,71.7,5.8,4.52,55.1,21.1
2026-03,Phone,174,11.1,6.43,69.5,6.9,4.38,55.2,4.2
2026-04,Phone,155,11.5,6.41,80.0,4.5,4.35,55.5,21.2
2026-05,Phone,162,11.4,5.91,74.7,4.9,4.3,53.1,-27.3
2026-06,Phone,180,12.1,6.58,77.2,6.1,4.43,53.3,6.5
2026-07,Phone,155,11.3,6.02,76.8,5.2,4.46,61.3,-6.2
2026-08,Phone,200,12.7,6.5,75.0,7.0,4.41,58.5,5.9
2024-01,Social,63,16.9,6.2,65.1,15.9,4.27,58.7,-14.3
2024-02,Social,64,16.1,6.79,78.1,9.4,4.22,60.9,-37.5
2024-03,Social,52,14.0,7.46,76.9,11.5,4.46,51.9,-40.0
2024-04,Social,47,18.5,6.8,66.0,14.9,4.11,57.4,-58.3
2024-05,Social,45,15.5,6.26,73.3,8.9,4.15,57.8,-37.5
2024-06,Social,64,14.3,7.15,68.8,7.8,4.24,59.4,-20.0
2024-07,Social,57,17.0,7.82,61.4,8.8,4.16,56.1,-54.5
2024-08,Social,58,19.1,7.05,67.2,13.8,4.26,60.3,-37.5
2024-09,Social,65,13.2,5.74,69.2,10.8,4.13,52.3,-46.2
2024-10,Social,83,18.0,6.65,55.4,14.5,4.08,57.8,-46.7
2024-11,Social,112,27.8,12.4,53.6,17.0,3.77,55.4,-72.2
2024-12,Social,131,24.6,11.56,64.9,15.3,3.79,57.3,-46.4
2025-01,Social,60,13.5,6.16,63.3,8.3,4.19,53.3,0.0
2025-02,Social,57,17.1,7.31,61.4,17.5,4.23,68.4,-83.3
2025-03,Social,39,13.2,6.21,69.2,2.6,4.4,64.1,30.0
2025-04,Social,47,14.5,5.87,76.6,4.3,4.44,66.0,9.1
2025-05,Social,50,13.4,6.73,78.0,12.0,4.35,52.0,-12.5
2025-06,Social,28,12.8,6.2,53.6,0.0,4.43,50.0,0.0
2025-07,Social,58,14.2,5.97,77.6,5.2,4.45,55.2,-10.0
2025-08,Social,44,13.7,6.46,63.6,6.8,4.5,54.5,18.2
2025-09,Social,60,12.4,6.14,75.0,8.3,4.42,61.7,25.0
2025-10,Social,40,10.0,7.14,75.0,10.0,4.68,47.5,-33.3
2025-11,Social,52,13.2,5.83,76.9,19.2,4.52,55.8,0.0
2025-12,Social,56,13.8,6.08,75.0,5.4,4.39,48.2,-9.1
2026-01,Social,56,11.1,5.87,80.4,5.4,4.47,57.1,-10.0
2026-02,Social,40,14.2,5.8,75.0,7.5,4.4,60.0,-16.7
2026-03,Social,51,13.5,5.94,76.5,7.8,4.46,47.1,0.0
2026-04,Social,39,11.9,6.67,66.7,2.6,4.36,53.8,-42.9
2026-05,Social,39,10.3,5.54,74.4,5.1,4.47,51.3,-27.3
2026-06,Social,38,17.1,5.76,73.7,5.3,4.5,60.5,-11.1
2026-07,Social,47,16.8,6.31,80.9,8.5,4.69,55.3,0.0
2026-08,Social,50,14.2,5.29,70.0,14.0,4.36,56.0,-28.6
